Input #1,Input #2,Output #1,Output #2,Output #3
2x Grove (C1),2x Lizard King (R8),1x Phanpyre (C4),1x Piranha (R11),
2x Grove (C1),2x Python (R9),1x Phanpyre (C4),1x Drowned (R18),
2x Grove (C1),5x Invisibug (R10),1x Dreadwing (R49),2x Cropeetle (R16),
2x Grove (C1),5x Piranha (R11),1x Phanpyre (C4),1x Abyssal Lanternfish (R23),
2x Grove (C1),5x Hideongeon (R13),1x Dreadwing (R49),2x Hideongift (C16),
2x Grove (C1),5x Lapis Skeleton (R15),1x Phanpyre (C4),1x Drowned (R18),2x Lapis Creeper (L12)
2x Grove (C1),5x Cropeetle (R16),1x Dreadwing (R49),,
2x Grove (C1),5x Drowned (R18),1x Phanpyre (C4),1x Star Sentry (R21),
2x Grove (C1),5x Star Sentry (R21),1x Phanpyre (C4),1x Arachne (R24),
2x Grove (C1),5x Hideondra (R22),1x Dreadwing (R49),2x Hideongift (C16),
2x Grove (C1),5x Abyssal Lanternfish (R23),1x Phanpyre (C4),1x Silentdepth (R29),
2x Grove (C1),5x Arachne (R24),1x Phanpyre (C4),1x Revenant (R27),
2x Grove (C1),5x Bitbug (R25),1x Dreadwing (R49),,
2x Grove (C1),5x Revenant (R27),1x Phanpyre (C4),1x Skeletor (R30),
2x Grove (C1),5x Silentdepth (R29),1x Phanpyre (C4),1x Snowfin (R35),
2x Grove (C1),5x Skeletor (R30),1x Phanpyre (C4),1x Thyst (R31),
2x Grove (C1),5x Thyst (R31),1x Phanpyre (C4),1x Kada Knight (R36),
2x Grove (C1),5x Quartzfang (R33),1x Phanpyre (C4),1x Kada Knight (R36),2x Stalagmight (R51)
2x Grove (C1),5x Hideonring (R34),1x Dreadwing (R49),2x Hideongift (C16),
2x Grove (C1),5x Snowfin (R35),1x Phanpyre (C4),1x Carrot King (R38),
2x Grove (C1),5x Kada Knight (R36),1x Phanpyre (C4),1x Wither Specter (R39),
2x Grove (C1),5x Carrot King (R38),1x Phanpyre (C4),1x Lumisquid (R44),
2x Grove (C1),5x Wither Specter (R39),1x Phanpyre (C4),1x Matcho (R42),
2x Grove (C1),5x Matcho (R42),1x Phanpyre (C4),1x Crocodile (R45),
2x Grove (C1),5x Ladybug (R43),1x Dreadwing (R49),,
2x Grove (C1),5x Lumisquid (R44),1x Phanpyre (C4),1x Joydive (R50),
2x Grove (C1),2x Crocodile (R45),1x Phanpyre (C4),1x Draconic (R57),
2x Grove (C1),2x Bullfrog (R46),1x Phanpyre (C4),1x Joydive (R50),
2x Grove (C1),5x Dreadwing (R49),1x Fungloom (R52),,
2x Grove (C1),5x Joydive (R50),1x Phanpyre (C4),1x Eel (R53),
2x Grove (C1),5x Stalagmight (R51),1x Phanpyre (C4),1x Draconic (R57),
2x Grove (C1),2x Eel (R53),1x Phanpyre (C4),1x Lava Flame (R56),
2x Grove (C1),2x King Cobra (R54),1x Phanpyre (C4),1x Draconic (R57),
2x Grove (C1),5x Lava Flame (R56),1x Phanpyre (C4),1x Inferno Koi (R59),
2x Grove (C1),5x Draconic (R57),1x Phanpyre (C4),1x Wither (R60),
2x Grove (C1),5x Falcon (R58),2x Boreal Owl (C34),,
2x Grove (C1),5x Inferno Koi (R59),1x Phanpyre (C4),,
2x Grove (C1),5x Wither (R60),1x Phanpyre (C4),,
2x Grove (C1),2x Terra (E1),1x XYZ (E34),,
2x Grove (C1),2x Cryo (E2),1x Phanpyre (C4),1x Water Hydra (E17),
2x Grove (C1),2x Aero (E3),1x Phanpyre (C4),1x Thorn (E12),
2x Grove (C1),5x Pandarai (E4),1x XYZ (E34),,
2x Grove (C1),2x Leviathan (E5),1x Phanpyre (C4),1x Water Hydra (E17),
2x Grove (C1),2x Alligator (E6),1x Phanpyre (C4),1x Thorn (E12),
2x Grove (C1),2x Fenlord (E7),1x Phanpyre (C4),1x Water Hydra (E17),
2x Grove (C1),2x Basilisk (E9),1x Phanpyre (C4),1x Thorn (E12),
2x Grove (C1),2x Iguana (E10),1x XYZ (E34),,
2x Grove (C1),2x Moray Eel (E11),1x Phanpyre (C4),1x Water Hydra (E17),
2x Grove (C1),5x Thorn (E12),1x Phanpyre (C4),1x Bal (E15),
2x Grove (C1),5x Lunar Moth (E13),1x XYZ (E34),,
2x Grove (C1),2x Fire Eel (E14),1x Phanpyre (C4),1x Water Hydra (E17),
2x Grove (C1),5x Bal (E15),1x Phanpyre (C4),1x Flare (E18),
2x Grove (C1),5x Hideonsack (E16),1x XYZ (E34),2x Hideongift (C16),
2x Grove (C1),5x Water Hydra (E17),1x Phanpyre (C4),1x Sea Emperor (E20),
2x Grove (C1),5x Flare (E18),1x Phanpyre (C4),1x Prince (E21),
2x Grove (C1),5x Sea Emperor (E20),1x Phanpyre (C4),1x Shellwise (E26),
2x Grove (C1),5x Prince (E21),1x Phanpyre (C4),1x Mimic (E24),
2x Grove (C1),2x Komodo Dragon (E22),1x XYZ (E34),,
2x Grove (C1),5x Mimic (E24),1x Phanpyre (C4),1x Barbarian Duke X (E27),
2x Grove (C1),2x Shellwise (E26),1x Phanpyre (C4),,
2x Grove (C1),5x Barbarian Duke X (E27),1x Phanpyre (C4),1x Hellwisp (E29),
2x Grove (C1),5x Toucan (E28),1x XYZ (E34),2x Boreal Owl (C34),
2x Grove (C1),5x Hellwisp (E29),1x Phanpyre (C4),1x Ghost (E33),
2x Grove (C1),2x Caiman (E30),1x Phanpyre (C4),1x Ghost (E33),
2x Grove (C1),5x Firefly (E31),1x XYZ (E34),,
2x Grove (C1),2x Sea Serpent (E32),1x Phanpyre (C4),,
2x Grove (C1),5x Ghost (E33),1x Phanpyre (C4),,
2x Grove (C1),2x Leatherback (E35),1x Phanpyre (C4),,
2x Grove (C1),5x Cavernshade (E36),1x Phanpyre (C4),,
2x Grove (C1),2x Tenebris (L1),1x Cinderbat (L28),,
2x Grove (C1),2x Blizzard (L2),1x Phanpyre (C4),1x Spike (L14),
2x Grove (C1),2x Tempest (L3),1x Phanpyre (C4),1x Endstone Protector (L9),
2x Grove (C1),2x Chameleon (L4),1x Mist (C2),1x Flash (C3),1x Phanpyre (C4)
2x Grove (C1),2x Tiamat (L6),1x Phanpyre (C4),1x Endstone Protector (L9),
2x Grove (C1),2x Wyvern (L7),1x Cinderbat (L28),,
2x Grove (C1),2x Tortoise (L8),1x Phanpyre (C4),1x Spike (L14),
2x Grove (C1),5x Endstone Protector (L9),1x Phanpyre (C4),1x Kraken (L15),
2x Grove (C1),2x Naga (L11),1x Phanpyre (C4),1x Spike (L14),
2x Grove (C1),5x Lapis Creeper (L12),1x Phanpyre (C4),1x Kraken (L15),
2x Grove (C1),5x Wartybug (L13),1x Cinderbat (L28),,
2x Grove (C1),5x Spike (L14),1x Phanpyre (C4),1x Taurus (L17),
2x Grove (C1),5x Kraken (L15),1x Phanpyre (C4),1x Burningsoul (L27),
2x Grove (C1),5x Taurus (L17),1x Phanpyre (C4),1x Shinyfish (L23),
2x Grove (C1),5x Daemon (L18),1x Phanpyre (C4),1x Burningsoul (L27),
2x Grove (C1),5x Moltenfish (L20),1x Phanpyre (C4),1x Shinyfish (L23),
2x Grove (C1),5x Shinyfish (L23),1x Phanpyre (C4),1x Lord Jawbus (L26),
2x Grove (C1),5x Ananke (L24),1x Phanpyre (C4),1x Burningsoul (L27),2x Boreal Owl (C34)
2x Grove (C1),5x Hideonbox (L25),1x Cinderbat (L28),2x Hideongift (C16),
2x Grove (C1),5x Lord Jawbus (L26),1x Phanpyre (C4),,
2x Grove (C1),5x Burningsoul (L27),1x Phanpyre (C4),1x Power Dragon (L30),
2x Grove (C1),2x Megalith (L29),1x Phanpyre (C4),,
2x Grove (C1),5x Power Dragon (L30),1x Phanpyre (C4),1x Apex Dragon (L33),
2x Grove (C1),5x Condor (L31),2x Boreal Owl (C34),,
2x Grove (C1),5x Sun Fish (L32),1x Phanpyre (C4),,
2x Grove (C1),5x Apex Dragon (L33),1x Phanpyre (C4),,
2x Grove (C1),5x Dodo (L34),2x Boreal Owl (C34),,
2x Grove (C1),5x Jormung (L36),1x Phanpyre (C4),,
2x Grove (C1),5x Etherdrake (L39),1x Phanpyre (C4),,
2x Grove (C1),5x Galaxy Fish (L41),1x Phanpyre (C4),,
2x Grove (C1),5x Molthorn (L42),1x Phanpyre (C4),,
2x Grove (C1),2x Starborn (L44),1x Phanpyre (C4),,
2x Mist (C2),2x Grove (C1),1x Cod (C5),1x Phanpyre (C4),
2x Mist (C2),2x Mist (C2),1x Cod (C5),,
2x Mist (C2),2x Flash (C3),1x Cod (C5),1x Lapis Zombie (C9),
2x Mist (C2),5x Phanpyre (C4),1x Cod (C5),1x Phanflare (C7),
2x Mist (C2),5x Cod (C5),1x Night Squid (C8),,
2x Mist (C2),5x Phanflare (C7),1x Cod (C5),1x Hideonleaf (C10),
2x Mist (C2),5x Night Squid (C8),1x Verdant (C11),,
2x Mist (C2),5x Lapis Zombie (C9),1x Cod (C5),1x Chill (C12),
2x Mist (C2),5x Hideonleaf (C10),1x Cod (C5),1x Mudworm (C25),2x Hideongift (C16)
2x Mist (C2),5x Verdant (C11),1x Sea Archer (C14),,
2x Mist (C2),5x Chill (C12),1x Cod (C5),1x Voracious Spider (C15),
2x Mist (C2),5x Sea Archer (C14),1x Birries (C17),,
2x Mist (C2),5x Voracious Spider (C15),1x Cod (C5),1x Tank Zombie (C18),
2x Mist (C2),5x Hideongift (C16),1x Cod (C5),1x Mudworm (C25),
2x Mist (C2),5x Birries (C17),1x Tadgang (C20),,
2x Mist (C2),5x Tank Zombie (C18),1x Cod (C5),1x Zealot (C21),
2x Mist (C2),5x Crow (C19),1x Cod (C5),1x Mudworm (C25),2x Boreal Owl (C34)
2x Mist (C2),2x Tadgang (C20),1x Coralot (C23),,
2x Mist (C2),5x Zealot (C21),1x Cod (C5),1x Golden Ghoul (C27),
2x Mist (C2),5x Coralot (C23),2x Newt (C35),,
2x Mist (C2),5x Harpy (C24),1x Cod (C5),1x Golden Ghoul (C27),2x Boreal Owl (C34)
2x Mist (C2),5x Mudworm (C25),1x Cod (C5),,
2x Mist (C2),5x Golden Ghoul (C27),1x Cod (C5),1x Azure (C29),1x Goldfin (U5)
2x Mist (C2),5x Azure (C29),1x Cod (C5),1x Bezal (C30),
2x Mist (C2),5x Bezal (C30),1x Cod (C5),1x Yog (C33),
2x Mist (C2),5x Yog (C33),1x Cod (C5),1x Miner Zombie (C36),
2x Mist (C2),5x Boreal Owl (C34),1x Cod (C5),,
2x Mist (C2),2x Newt (C35),2x Salamander (U8),,
2x Mist (C2),5x Miner Zombie (C36),1x Cod (C5),,
2x Mist (C2),2x Bramble (U1),1x Cod (C5),1x Pest (U10),
2x Mist (C2),2x Tide (U2),1x Mossybit (U11),,
2x Mist (C2),2x Quake (U3),1x Cod (C5),1x Rain Slime (U12),
2x Mist (C2),5x Sparrow (U4),1x Cod (C5),1x Pest (U10),2x Boreal Owl (C34)
2x Mist (C2),5x Goldfin (U5),1x Mossybit (U11),,
2x Mist (C2),5x Troglobyte (U6),1x Cod (C5),1x Rain Slime (U12),2x Quartzfang (R33)
2x Mist (C2),5x Hideoncave (U7),1x Cod (C5),1x Pest (U10),2x Hideongift (C16)
2x Mist (C2),2x Salamander (U8),1x Mossybit (U11),,
2x Mist (C2),2x Cuboa (U9),1x Cod (C5),1x Rain Slime (U12),
2x Mist (C2),5x Pest (U10),1x Cod (C5),1x Bambuleaf (U25),
2x Mist (C2),2x Mossybit (U11),1x Salmon (U20),,
2x Mist (C2),5x Rain Slime (U12),1x Cod (C5),1x Seer (U15),
2x Mist (C2),5x Seer (U15),1x Cod (C5),1x Obsidian Defender (U18),
2x Mist (C2),5x Heron (U16),1x Cod (C5),1x Bambuleaf (U25),2x Boreal Owl (C34)
2x Mist (C2),5x Obsidian Defender (U18),1x Cod (C5),1x Zombie Soldier (U24),
2x Mist (C2),5x Salmon (U20),1x Ent (U29),,
2x Mist (C2),2x Viper (U21),1x Cod (C5),1x Zombie Soldier (U24),
2x Mist (C2),5x Praying Mantis (U22),1x Cod (C5),1x Bambuleaf (U25),
2x Mist (C2),5x Zombie Soldier (U24),1x Cod (C5),1x Sycophant (U27),
2x Mist (C2),5x Bambuleaf (U25),1x Cod (C5),1x Mochibear (U31),
2x Mist (C2),5x Sycophant (U27),1x Cod (C5),1x Soul of the Alpha (U30),
2x Mist (C2),5x Seagull (U28),1x Cod (C5),1x Mochibear (U31),2x Boreal Owl (C34)
2x Mist (C2),5x Ent (U29),1x Magma Slug (U32),,
2x Mist (C2),5x Soul of the Alpha (U30),1x Cod (C5),1x Flaming Spider (U33),
2x Mist (C2),5x Mochibear (U31),1x Cod (C5),,
2x Mist (C2),5x Magma Slug (U32),1x Stridersurfer (U38),,
2x Mist (C2),5x Flaming Spider (U33),1x Cod (C5),1x Bruiser (U36),
2x Mist (C2),5x Kiwi (U34),1x Cod (C5),2x Boreal Owl (C34),
2x Mist (C2),5x Bruiser (U36),1x Cod (C5),,
2x Mist (C2),2x Rana (U39),1x Cod (C5),,
2x Mist (C2),5x Termite (U40),1x Cod (C5),,
2x Mist (C2),2x Sylvan (R1),1x Cod (C5),1x Beaconmite (R7),
2x Mist (C2),2x Cascade (R2),1x Piranha (R11),,
2x Mist (C2),2x Bolt (R3),1x Cod (C5),1x Glacite Walker (R6),
2x Mist (C2),5x Bambloom (R4),1x Cod (C5),1x Beaconmite (R7),
2x Mist (C2),2x Toad (R5),1x Piranha (R11),,
2x Mist (C2),5x Glacite Walker (R6),1x Cod (C5),1x Drowned (R18),
2x Mist (C2),5x Beaconmite (R7),1x Cod (C5),1x Invisibug (R10),
2x Mist (C2),2x Lizard King (R8),1x Piranha (R11),2x Salamander (U8),
2x Mist (C2),2x Python (R9),1x Cod (C5),1x Drowned (R18),
2x Mist (C2),5x Invisibug (R10),1x Cod (C5),1x Dreadwing (R49),
2x Mist (C2),5x Piranha (R11),1x Abyssal Lanternfish (R23),,
2x Mist (C2),5x Hideongeon (R13),1x Cod (C5),1x Dreadwing (R49),2x Hideongift (C16)
2x Mist (C2),5x Lapis Skeleton (R15),1x Cod (C5),1x Drowned (R18),2x Lapis Creeper (L12)
2x Mist (C2),5x Cropeetle (R16),1x Cod (C5),1x Dreadwing (R49),
2x Mist (C2),5x Drowned (R18),1x Cod (C5),1x Star Sentry (R21),
2x Mist (C2),5x Star Sentry (R21),1x Cod (C5),1x Arachne (R24),
2x Mist (C2),5x Hideondra (R22),1x Cod (C5),1x Dreadwing (R49),2x Hideongift (C16)
2x Mist (C2),5x Abyssal Lanternfish (R23),1x Silentdepth (R29),,
2x Mist (C2),5x Arachne (R24),1x Cod (C5),1x Revenant (R27),
2x Mist (C2),5x Bitbug (R25),1x Cod (C5),1x Dreadwing (R49),
2x Mist (C2),5x Revenant (R27),1x Cod (C5),1x Skeletor (R30),
2x Mist (C2),5x Silentdepth (R29),1x Snowfin (R35),,
2x Mist (C2),5x Skeletor (R30),1x Cod (C5),1x Thyst (R31),
2x Mist (C2),5x Thyst (R31),1x Cod (C5),1x Kada Knight (R36),
2x Mist (C2),5x Quartzfang (R33),1x Cod (C5),1x Kada Knight (R36),2x Stalagmight (R51)
2x Mist (C2),5x Hideonring (R34),1x Cod (C5),1x Dreadwing (R49),2x Hideongift (C16)
2x Mist (C2),5x Snowfin (R35),1x Carrot King (R38),,
2x Mist (C2),5x Kada Knight (R36),1x Cod (C5),1x Wither Specter (R39),
2x Mist (C2),5x Carrot King (R38),1x Lumisquid (R44),,
2x Mist (C2),5x Wither Specter (R39),1x Cod (C5),1x Matcho (R42),
2x Mist (C2),5x Matcho (R42),1x Cod (C5),1x Crocodile (R45),
2x Mist (C2),5x Ladybug (R43),1x Cod (C5),1x Dreadwing (R49),
2x Mist (C2),5x Lumisquid (R44),1x Joydive (R50),,
2x Mist (C2),2x Crocodile (R45),1x Cod (C5),1x Draconic (R57),
2x Mist (C2),2x Bullfrog (R46),1x Joydive (R50),,
2x Mist (C2),5x Dreadwing (R49),1x Cod (C5),1x Fungloom (R52),
2x Mist (C2),5x Joydive (R50),1x Eel (R53),,
2x Mist (C2),5x Stalagmight (R51),1x Cod (C5),1x Draconic (R57),
2x Mist (C2),5x Fungloom (R52),1x Cod (C5),,
2x Mist (C2),2x Eel (R53),1x Lava Flame (R56),,
2x Mist (C2),2x King Cobra (R54),1x Cod (C5),1x Draconic (R57),
2x Mist (C2),5x Lava Flame (R56),1x Inferno Koi (R59),,
2x Mist (C2),5x Draconic (R57),1x Cod (C5),1x Wither (R60),
2x Mist (C2),5x Falcon (R58),1x Cod (C5),2x Boreal Owl (C34),
2x Mist (C2),5x Wither (R60),1x Cod (C5),,
2x Mist (C2),2x Gecko (R61),1x Cod (C5),,
2x Mist (C2),2x Terra (E1),1x Cod (C5),1x XYZ (E34),
2x Mist (C2),2x Cryo (E2),1x Water Hydra (E17),,
2x Mist (C2),2x Aero (E3),1x Cod (C5),1x Thorn (E12),
2x Mist (C2),5x Pandarai (E4),1x Cod (C5),1x XYZ (E34),
2x Mist (C2),2x Leviathan (E5),1x Water Hydra (E17),2x Salamander (U8),
2x Mist (C2),2x Alligator (E6),1x Cod (C5),1x Thorn (E12),
2x Mist (C2),2x Fenlord (E7),1x Water Hydra (E17),,
2x Mist (C2),2x Basilisk (E9),1x Cod (C5),1x Thorn (E12),
2x Mist (C2),2x Iguana (E10),1x Cod (C5),1x XYZ (E34),
2x Mist (C2),2x Moray Eel (E11),1x Water Hydra (E17),,
2x Mist (C2),5x Thorn (E12),1x Cod (C5),1x Bal (E15),
2x Mist (C2),5x Lunar Moth (E13),1x Cod (C5),1x XYZ (E34),
2x Mist (C2),2x Fire Eel (E14),1x Water Hydra (E17),,
2x Mist (C2),5x Bal (E15),1x Cod (C5),1x Flare (E18),
2x Mist (C2),5x Hideonsack (E16),1x Cod (C5),1x XYZ (E34),2x Hideongift (C16)
2x Mist (C2),5x Water Hydra (E17),1x Sea Emperor (E20),,
2x Mist (C2),5x Flare (E18),1x Cod (C5),1x Prince (E21),
2x Mist (C2),5x Sea Emperor (E20),1x Shellwise (E26),,
2x Mist (C2),5x Prince (E21),1x Cod (C5),1x Mimic (E24),
2x Mist (C2),2x Komodo Dragon (E22),1x Cod (C5),1x XYZ (E34),
2x Mist (C2),5x Mimic (E24),1x Cod (C5),1x Barbarian Duke X (E27),
2x Mist (C2),5x Barbarian Duke X (E27),1x Cod (C5),1x Hellwisp (E29),
2x Mist (C2),5x Toucan (E28),1x Cod (C5),1x XYZ (E34),2x Boreal Owl (C34)
2x Mist (C2),5x Hellwisp (E29),1x Cod (C5),1x Ghost (E33),
2x Mist (C2),2x Caiman (E30),1x Cod (C5),1x Ghost (E33),
2x Mist (C2),5x Firefly (E31),1x Cod (C5),1x XYZ (E34),
2x Mist (C2),5x Ghost (E33),1x Cod (C5),,
2x Mist (C2),5x XYZ (E34),1x Cod (C5),,
2x Mist (C2),5x Cavernshade (E36),1x Cod (C5),,
2x Mist (C2),5x Dragonfly (E37),1x Cod (C5),,
2x Mist (C2),2x Tenebris (L1),1x Cod (C5),1x Cinderbat (L28),
2x Mist (C2),2x Blizzard (L2),1x Spike (L14),,
2x Mist (C2),2x Tempest (L3),1x Cod (C5),1x Endstone Protector (L9),
2x Mist (C2),2x Chameleon (L4),1x Flash (C3),1x Phanpyre (C4),1x Cod (C5)
2x Mist (C2),2x Tiamat (L6),1x Cod (C5),1x Endstone Protector (L9),
2x Mist (C2),2x Wyvern (L7),1x Cod (C5),1x Cinderbat (L28),
2x Mist (C2),2x Tortoise (L8),1x Spike (L14),,
2x Mist (C2),5x Endstone Protector (L9),1x Cod (C5),1x Kraken (L15),
2x Mist (C2),2x Naga (L11),1x Spike (L14),,
2x Mist (C2),5x Lapis Creeper (L12),1x Cod (C5),1x Kraken (L15),
2x Mist (C2),5x Wartybug (L13),1x Cod (C5),1x Cinderbat (L28),
2x Mist (C2),5x Spike (L14),1x Taurus (L17),,
2x Mist (C2),5x Kraken (L15),1x Cod (C5),1x Burningsoul (L27),1x Moltenfish (L20)
2x Mist (C2),5x Taurus (L17),1x Shinyfish (L23),,
2x Mist (C2),5x Daemon (L18),1x Cod (C5),1x Burningsoul (L27),
2x Mist (C2),5x Moltenfish (L20),1x Shinyfish (L23),,
2x Mist (C2),5x Shinyfish (L23),1x Lord Jawbus (L26),,
2x Mist (C2),5x Ananke (L24),1x Cod (C5),1x Burningsoul (L27),2x Boreal Owl (C34)
2x Mist (C2),5x Hideonbox (L25),1x Cod (C5),1x Cinderbat (L28),2x Hideongift (C16)
2x Mist (C2),5x Burningsoul (L27),1x Cod (C5),1x Power Dragon (L30),
2x Mist (C2),5x Cinderbat (L28),1x Cod (C5),,
2x Mist (C2),5x Power Dragon (L30),1x Cod (C5),1x Apex Dragon (L33),
2x Mist (C2),5x Condor (L31),1x Cod (C5),2x Boreal Owl (C34),
2x Mist (C2),5x Apex Dragon (L33),1x Cod (C5),,
2x Mist (C2),5x Dodo (L34),1x Cod (C5),2x Boreal Owl (C34),
2x Mist (C2),5x Jormung (L36),1x Cod (C5),,
2x Mist (C2),5x Etherdrake (L39),1x Cod (C5),,
2x Mist (C2),5x Molthorn (L42),1x Cod (C5),,
2x Mist (C2),2x Starborn (L44),1x Cod (C5),,
2x Flash (C3),2x Grove (C1),1x Lapis Zombie (C9),1x Phanpyre (C4),
2x Flash (C3),2x Mist (C2),1x Lapis Zombie (C9),1x Cod (C5),
2x Flash (C3),2x Flash (C3),1x Lapis Zombie (C9),,
2x Flash (C3),5x Phanpyre (C4),1x Lapis Zombie (C9),1x Phanflare (C7),
2x Flash (C3),5x Cod (C5),1x Lapis Zombie (C9),1x Night Squid (C8),
2x Flash (C3),5x Phanflare (C7),1x Lapis Zombie (C9),1x Hideonleaf (C10),
2x Flash (C3),5x Night Squid (C8),1x Lapis Zombie (C9),1x Verdant (C11),
2x Flash (C3),5x Lapis Zombie (C9),1x Chill (C12),,
2x Flash (C3),5x Hideonleaf (C10),1x Lapis Zombie (C9),1x Mudworm (C25),2x Hideongift (C16)
2x Flash (C3),5x Verdant (C11),1x Lapis Zombie (C9),1x Sea Archer (C14),
2x Flash (C3),5x Chill (C12),1x Voracious Spider (C15),,
2x Flash (C3),5x Sea Archer (C14),1x Lapis Zombie (C9),1x Birries (C17),
